# Time;simulation duration [ms];arrived vehicles [#];arrived vehicles [#];arrived vehicles [#];arrived vehicles [#];arrived vehicles [#]
0.00;0.92;390.00;393.00;397.00;401.00;413.00
300.00;1.54;391.00;394.00;398.00;403.00;414.00
600.00;2.21;391.00;395.00;401.00;404.00;416.00
900.00;2.75;391.00;397.00;403.00;405.00;418.00
1200.00;3.58;392.00;398.00;404.00;406.00;419.00
1500.00;3.99;393.00;401.00;405.00;406.00;421.00
1800.00;4.63;394.00;403.00;406.00;408.00;422.00
2100.00;5.08;395.00;404.00;406.00;410.00;423.00
2400.00;5.77;397.00;405.00;408.00;411.00;424.00
2700.00;6.44;398.00;406.00;410.00;413.00;424.00
3000.00;6.99;401.00;406.00;411.00;414.00;425.00
3300.00;7.75;403.00;408.00;413.00;416.00;425.00
3600.00;8.26;404.00;410.00;414.00;418.00;425.00
3900.00;8.17;405.00;411.00;416.00;419.00;426.00
4200.00;7.70;406.00;413.00;418.00;421.00;426.00
4500.00;7.64;406.00;414.00;419.00;422.00;426.00
4800.00;7.86;408.00;416.00;421.00;423.00;427.00
5100.00;7.32;410.00;418.00;422.00;424.00;427.00
5400.00;7.22;411.00;419.00;423.00;424.00;428.00
5700.00;7.07;413.00;421.00;424.00;425.00;428.00
6000.00;7.08;414.00;422.00;424.00;425.00;429.00
6300.00;7.19;416.00;423.00;425.00;425.00;429.00
6600.00;6.68;418.00;424.00;425.00;426.00;429.00
6900.00;0.00;419.00;424.00;425.00;426.00;429.00
7200.00;0.00;421.00;425.00;426.00;426.00;429.00
7500.00;0.00;422.00;425.00;426.00;427.00;430.00
7800.00;0.00;423.00;425.00;426.00;427.00;431.00
8100.00;0.00;424.00;426.00;427.00;428.00;431.00
8400.00;0.00;424.00;426.00;427.00;428.00;431.00
8700.00;-0.00;425.00;426.00;428.00;429.00;431.00
9000.00;-nan;425.00;427.00;428.00;429.00;432.00
9300.00;-nan;425.00;427.00;429.00;429.00;432.00
9600.00;0.00;426.00;428.00;429.00;429.00;434.00
9900.00;0.00;426.00;428.00;429.00;429.00;434.00
10200.00;-nan;426.00;429.00;429.00;430.00;434.00
10500.00;0.00;427.00;429.00;429.00;431.00;434.00
10800.00;-nan;427.00;429.00;430.00;431.00;434.00
11100.00;-nan;428.00;429.00;431.00;431.00;434.00
11400.00;-nan;428.00;429.00;431.00;431.00;434.00
11700.00;-nan;429.00;430.00;431.00;432.00;434.00
12000.00;-nan;429.00;431.00;431.00;432.00;435.00
12300.00;-nan;429.00;431.00;432.00;434.00;435.00
12600.00;-nan;429.00;431.00;432.00;434.00;435.00
12900.00;0.00;429.00;431.00;434.00;434.00;436.00
13200.00;-nan;430.00;432.00;434.00;434.00;437.00
